user,class_id,parti_rate
ajorquera,18,0.4
smohsin16,18,0.7
syed.mohsin.311,18,0.1
shen92,18,0.2
yangyx,18,0.6
giovanna.silvateixeira,18,0.5
keith.alexanderpapa,18,0.1
li160,19,1.0
kknom1,19,1.0
ujrav,19,1.0
png4,19,1.0
billstan42,19,1.0
yumin2,19,1.0
peihan0807,19,1.0
eclee2,19,1.0
kemontano,20,1.0
asdelarosa0531,20,1.0
larissatv.lt,20,1.0
fattycorpsl,20,1.0
isaac_demon,20,1.0
akinczewski,21,1.0
nieder23,21,0.5
ewilliamson,21,1.0
sbenteftifa,21,1.0
kwalcott,21,0.5
uqarni,21,1.0
jabel21,21,0.5
sboots,21,1.0
spalmersheim,21,0.5
jtrousda,21,1.0
jberkowitz,21,1.0
noah123,21,1.0
jec279,21,0.5
sp520,21,0.5
atuttle,21,1.0
elliottsiu,21,0.5
brittanybrandon22,21,1.0
slhatch,21,0.5
clundgren,21,1.0
mjanisch,21,1.0
kcha,21,1.0
nwass182,21,0.5
angel.huang90,21,1.0
mfersch,21,1.0
chibre,22,1.0
adrienbarbey32,22,1.0
frlescroart,22,1.0
meliss.val.mer,22,1.0
nanotechgroup1,22,1.0
jtutor_cu,22,1.0
evapaz,22,1.0
luismar14,22,1.0
aliciakcabrera,22,1.0
leocouty,22,1.0
anjalim,22,1.0
meesha.kaushal,23,1.0
dbanks14,23,1.0
brjohns3,23,1.0
kericks1,23,1.0
kemingren1991,23,1.0
kathleen.dipple,23,0.6666666666666666
vincent91,24,1.0
zhen.jun.12,24,1.0
ba64906,24,1.0
chungsheng.chang.7,24,1.0
yuchinliao,24,1.0
sarah.easterbrook,25,1.0
dillon.card,25,1.0
julia.dyer4,25,1.0
shawn.noble1,25,1.0
cheitlan,25,1.0
trevor.johnson67,25,1.0
shellingford,26,0.5
bomattix,26,0.75
josehazi,26,0.5
forestsears,26,0.75
shrutisharma810,26,1.0
munchun.alex.lai,26,0.25
luisab,26,0.25
rwatari,26,0.75
sonjapostak,26,0.25
amcdunn,26,1.0
dvanegeren,26,0.5
rlangomas,26,0.75
aleide,26,0.5
msuglian,26,0.25
kai626,26,0.25
maddie.noteware,26,0.25
paulomib,26,0.5
spostak,26,1.0
ctowle,26,0.25
samirchar,27,1.0
fosforitofercho,27,1.0
jeissoncz,27,1.0
af.otero10,27,1.0
mileidypinzon,27,1.0
calopo1,27,1.0
alixguti96,27,1.0
tarod13,27,1.0
sararoma,27,1.0
ddmm9304,27,1.0
danielr.ullo,27,1.0
sindy,27,1.0
santiago.laravalle,27,1.0
miguel738,27,1.0
laura94,27,1.0
cj.hernandez11,27,1.0
jd.botero320,27,1.0
kellyx.morac,27,1.0
alexei22,27,1.0
williamrodriguez1819,27,1.0
leiverj.martinezl,27,1.0
darwindubay,27,1.0
celene23,27,1.0
gomezago,27,1.0
davidalvar11,27,1.0
fireraptor,27,1.0
ranchomanuel,27,1.0
wmrey,27,1.0
sue.pernett,27,1.0
franz,27,1.0
prietonico,27,1.0
ing.horo,27,1.0
cdsierra1199,27,1.0
madb,27,1.0
diegoa08,27,1.0
grupodelaboratorio,27,1.0
wall,27,1.0
jackboyle,28,1.0
leoxia95,28,1.0
earnold,28,1.0
jchan13,28,1.0
mehulnair2014,28,1.0
doragerardo,28,1.0
dcheng289,28,1.0
madwood21,28,1.0
spython,28,1.0
dkidwell88,28,1.0
rhmarsha,28,1.0
agar434,28,1.0
amydills,28,1.0
wzmjnwzmjn,28,1.0
csmcinto,28,1.0
macer199,28,1.0
eyokote,28,1.0
kleaks,28,1.0
hubertshek,28,1.0
shingchi,28,1.0
thomasmatt88,28,1.0
seanhan,28,1.0
mart136,28,1.0
jimmieli,28,1.0
samzasloffcohen,28,1.0
xijingzhang,28,1.0
jones.a.doug,28,1.0
kinda,28,1.0
gtadams,28,1.0
stephaaf,28,1.0
ndaugher,28,1.0
jbever,28,1.0
lhamill,28,1.0
emmaharrelson,28,1.0
amyvandy,28,1.0
rosstin1,28,1.0
bkredito,28,1.0
poyuanc,28,1.0
awsilvers,28,1.0
brianage,28,1.0
priyabha,28,1.0
colemanbaker,28,1.0
justinaf,28,1.0
jamesdma,28,1.0
kfqualls,28,1.0
hlepe,28,1.0
cbridge,28,1.0
zanziano,28,1.0
sshooshtarian,28,1.0
askenned,28,1.0
ericaleung,28,1.0
jeremysmith244,29,0.2
ncnillinois,29,0.1
barasaadah,29,0.7
rachelhatano,29,0.1
alqadi2,29,0.7
kfisher2,29,0.1
jparedes4,29,0.1
yaser_yaseen,29,0.7
sethspitulski,29,0.1
ckmckmckmckm,29,0.1
nitya061290,29,0.2
sarahwhite603,29,0.4
oa3957,29,0.2
hlai10,29,0.4
carrasquilla,29,0.1
lewong27,29,0.1
andersdhenriksen,29,0.1
akiramadono,29,0.1
sunjane2014,29,0.1
cmrace,29,0.2
dyland,29,0.1
sobh,29,0.8
ywang272,29,0.1
ana.aarteaga,29,0.1
chiamori,29,0.1
matthew.n.martin,29,0.1
jsmit244,29,0.1
tan49,29,0.1
apentecost25,29,0.1
songtingjie,29,0.3
sobh1,29,0.1
jenniferbme90,29,0.1
edespeaux,29,0.1
memic,29,0.1
matt.leslie2003,29,0.1
skyblue4,29,0.1
ncalvo11,29,0.1
nwblock2,29,0.2
clareclare,29,0.1
gudavalli_r,29,0.1
kchauhan,29,0.2
lejk80,29,0.1
sliliana.arias,29,0.1
rahil2,29,0.1
l445250779,29,0.3
dtn0028,29,0.1
duncanzhang,29,0.3
vondev,29,0.2
zichen,29,0.1
phuongbaole,29,0.1
lnphant,29,0.1
ariel.ashshakoor,29,0.1
wxj072,29,0.2
ssong18,29,0.5
ndg2119,30,1.0
harrisonliew,30,1.0
dps2144,30,1.0
frostgyt,30,1.0
gkewley87,30,0.5
yangyx,30,1.0
munchun.alex.lai,31,1.0
demkowicz,31,0.6666666666666666
akido707,31,0.3333333333333333
maddie.noteware,31,0.6666666666666666
kdoolit,31,1.0
shellingford,31,1.0
mulla,31,0.3333333333333333
