semester,number of clusters,cluster id,users in each cluster,unique institutions,institution list
,,65,5,5,"['stanford university', 'university of illinois at urbana-champaign', 'technische universitÃ¤t berlin', 'university of virginia', 'West Virginia University']"
fall2008,39,1,200,2,"['northwestern university', 'national science foundation']"
,,2,55,1,['purdue university']
,,3,46,3,"['purdue university', 'university of illinois at urbana-champaign', 'illinois business consulting']"
,,4,43,4,"['arizona state university', 'the university of texas at el paso', 'kth royal institute of technology', 'purdue university']"
,,5,35,3,"['columbia university in the city of new york', 'massachusetts institute of technology (mit)', 'cornell university']"
,,6,34,2,"['purdue university', 'university of pennsylvania']"
,,7,32,2,"['Harvard University', 'technical university of denmark']"
,,8,23,5,"['kth royal institute of technology', 'b-phot brussels photonics team', 'stanford university', 'ghent university', 'technische universitÃ¤t mÃ¼nchen']"
,,9,22,2,"['University of New Hampshire Main Campus', 'rwth aachen university']"
,,10,21,2,"['University of South Alabama', 'ibm']"
,,11,21,5,"[""cea - commissariat Ã\xa0 l'Ã©nergie atomique et aux Ã©nergies alternatives"", 'arizona state university', 'massachusetts institute of technology (mit)', 'purdue university', 'wuhan university']"
,,12,17,3,"['northwestern university', 'Vassar College', 'university of michigan']"
,,13,15,0,[]
,,14,14,3,"['university of portland', 'university of florida', 'university of illinois at chicago']"
,,15,11,1,['purdue university']
,,16,9,1,['northwestern university']
,,17,8,1,['purdue university']
,,18,8,2,"['massachusetts institute of technology (mit)', 'cairo university']"
,,19,8,1,['southern illinois university']
,,20,7,1,['university of cincinnati']
,,21,7,3,"['university of maryland baltimore county', 'purdue university', 'arizona state university']"
,,22,6,1,['purdue university']
,,23,6,1,['massachusetts institute of technology (mit)']
,,24,6,1,['southern illinois university']
,,25,6,1,['purdue university']
,,26,6,1,['northwestern university']
,,27,6,1,['north carolina state university']
,,28,6,2,"['university of florida', 'imec']"
,,29,6,1,['purdue university']
,,30,6,1,['northwestern university']
,,31,5,4,"['university of florida', 'Norfolk State University', 'university of michigan', 'toshiba corporation']"
,,32,5,3,"['carnegie mellon university', 'grupa onet.pl sa', 'colorado school of mines']"
,,33,5,4,"['purdue university', 'ball state university', 'nanyang technological university', 'arizona state university']"
,,34,5,1,['ball state university']
,,35,5,3,"['northwestern university', 'csem', 'purdue university']"
,,36,5,0,[]
,,37,5,1,['purdue university']
,,38,5,1,['purdue university']
,,39,5,2,"['national chiao tung university', 'aol']"
spring2009,46,1,384,2,"['northwestern university', 'massachusetts institute of technology (mit)']"
,,2,133,12,"['the university of texas at el paso', 'purdue university', 'university of illinois at urbana-champaign', 'illinois business consulting', 'arizona state university', 'boston university', 'boise state university', 'the university of british columbia', 'a g groome & associates', 'mynet', 'Grove City College', 'Norfolk State University']"
,,3,44,2,"['university of illinois at urbana-champaign', 'illinois business consulting']"
,,4,29,4,"['kth royal institute of technology', 'northwestern university', 'stanford university', 'university of texas at dallas']"
,,5,25,1,['northwestern university']
,,6,20,2,"['stanford university', 'cornell university']"
,,7,19,2,"['vanderbilt university', 'texas a&m university']"
,,8,16,2,"['seznam.cz', 'brno university of technology']"
,,9,15,1,['massachusetts institute of technology (mit)']
,,10,15,1,['purdue university']
,,11,14,2,"['arizona state university', 'university of utah']"
,,12,13,5,"['purdue university', 'earlham college', 'louisiana state university', 'louisiana tech university', 'boston university']"
,,13,13,3,"['arizona state university', 'university of florida', 'vanderbilt university']"
,,14,13,8,"['purdue university', 'columbia university in the city of new york', 'washington university in st. louis', 'northwestern university', 'university of toronto', 'university of illinois at urbana-champaign', 'university of central florida', 'the university of manchester']"
,,15,12,5,"['purdue university', 'university of illinois at urbana-champaign', 'boston university', 'university of illinois at chicago', 'the university of texas at austin']"
,,16,11,4,"['university of illinois at urbana-champaign', 'karlstad university', 'illinois business consulting', 'peking university']"
,,17,10,1,['arizona state university']
,,18,10,3,"['northwestern university', 'university of illinois at urbana-champaign', 'university of twente']"
,,19,9,2,"['southern illinois university', 'university of illinois at chicago']"
,,20,9,2,"['mcgill university', 'university of texas at dallas']"
,,21,9,2,"['university of texas at dallas', 'florida international university']"
,,22,9,1,['stanford university']
,,23,8,5,"['stony brook university', 'university of kentucky', 'european xfel', 'university of illinois at chicago', 'purdue university']"
,,24,8,3,"['southern illinois university', 'university of warwick', 'penn state university']"
,,25,8,0,[]
,,26,8,2,"['oak ridge national laboratory', 'university of hamburg']"
,,27,7,1,['southern illinois university']
,,28,7,1,['purdue university']
,,29,7,1,['northwestern university']
,,30,7,1,['the university of texas at austin']
,,31,6,1,['northwestern university']
,,32,6,0,[]
,,33,6,1,['northwestern university']
,,34,6,2,"['peking university', 'purdue university']"
,,35,6,0,[]
,,36,5,2,"['uc berkeley', 'university of bristol']"
,,37,5,3,"['university of muenster', 'dupont', 'computer vision center']"
