,year_month,clustered_track,self_track,researcher_track,clustered_track_per,researcher_track_per,self_track_per
90,2007-07-01,2307,3387,340,38.23334438183626,5.63473649320517,56.13191912495857
91,2007-08-01,2378,3413,343,38.7675252689925,5.591783501793284,55.64069122921421
92,2007-09-01,2362,3486,348,38.121368624919306,5.616526791478373,56.26210458360232
93,2007-10-01,2428,3600,355,38.03853987153376,5.5616481278395735,56.39981200062667
94,2007-11-01,2383,3648,360,37.2868095759662,5.632921295571898,57.0802691284619
95,2007-12-01,2281,3676,357,36.126069052898316,5.65410199556541,58.219828951536265
96,2008-01-01,2236,3718,360,35.41336712068419,5.701615457713019,58.88501742160279
97,2008-02-01,2524,3794,358,37.8070701018574,5.36249251048532,56.830437387657284
98,2008-03-01,2516,3863,358,37.34599970313196,5.31393795457919,57.34006234228885
99,2008-04-01,2459,3881,365,36.67412378821775,5.443698732289336,57.88217747949291
100,2008-05-01,2449,3880,370,36.55769517838483,5.5232124197641435,57.919092401851024
101,2008-06-01,2442,3860,365,36.62816859157042,5.474726263686815,57.89710514474277
102,2008-07-01,2434,3904,361,36.33378116136737,5.388864009553665,58.277354829078966
103,2008-08-01,2413,3984,361,35.70583012725658,5.341817105652559,58.95235276709086
104,2008-09-01,2409,4003,367,35.536214780941144,5.413777843339726,59.05000737571914
105,2008-10-01,2488,4055,380,35.93817709085656,5.488949877220858,58.572873031922576
106,2008-11-01,2731,4167,383,37.50858398571625,5.260266446916632,57.231149567367126
107,2008-12-01,2571,4238,385,35.73811509591326,5.351681957186544,58.91020294690019
108,2009-01-01,2564,4309,389,35.307077939961445,5.356651060313963,59.3362709997246
109,2009-02-01,2953,4337,393,38.435506963425745,5.11518937914877,56.44930365742549
110,2009-03-01,2705,4361,392,36.2697774202199,5.256100831322071,58.47412174845803
111,2009-04-01,2803,4405,389,36.89614321442674,5.120442279847308,57.983414505725946
112,2009-05-01,2627,4429,393,35.2664787219761,5.275875956504229,59.45764532151967
113,2009-06-01,2522,4426,389,34.3737222297942,5.3018945072918084,60.324383262914
114,2009-07-01,2536,4376,387,34.7444855459652,5.30209617755857,59.953418276476235
115,2009-08-01,2547,4281,381,35.33083645443196,5.285060341240117,59.38410320432792
116,2009-09-01,2709,4241,382,36.94762684124386,5.210038188761593,57.842334969994546
117,2009-10-01,3072,4270,386,39.75155279503105,4.994824016563147,55.2536231884058
118,2009-11-01,3280,4248,395,41.39846017922504,4.9854852959737475,53.616054524801214
119,2009-12-01,3194,4212,389,40.974983964079534,4.990378447722899,54.03463758819756
120,2010-01-01,3221,4193,387,41.28957825919754,4.960902448404051,53.7495192923984
121,2010-02-01,3743,4248,384,44.69253731343284,4.585074626865672,50.722388059701494
122,2010-03-01,4005,4341,397,45.80807503145373,4.5407754775248765,49.65114949102139
123,2010-04-01,3828,4398,406,44.346617238183505,4.703429101019462,50.94995366079703
124,2010-05-01,3649,4502,410,42.623525289101735,4.789160144842892,52.58731456605537
125,2010-06-01,3751,4625,423,42.62984430048869,4.807364473235595,52.56279122627572
126,2010-07-01,3764,4752,430,42.074670243684324,4.806617482673821,53.118712273641854
127,2010-08-01,3740,4917,431,41.153169014084504,4.742517605633803,54.10431338028169
128,2010-09-01,3773,5106,436,40.50456253354804,4.680622651637145,54.81481481481482
129,2010-10-01,4087,5301,443,41.572576543586614,4.506154002644696,53.921269453768694
130,2010-11-01,4339,5551,445,41.983551040154815,4.305757135945815,53.71069182389937
131,2010-12-01,4100,5813,442,39.594398841139544,4.268469338483824,56.13713182037663
132,2011-01-01,3872,5930,442,37.797735259664194,4.314720812182741,57.887543928153065
133,2011-02-01,3903,6114,447,37.299311926605505,4.271788990825688,58.428899082568805
134,2011-03-01,4457,6249,450,39.951595553961994,4.033703836500538,56.01470060953747
135,2011-04-01,4197,6336,446,38.227525275526006,4.062300755988706,57.71017396848529
136,2011-05-01,4175,6349,440,38.07916818679314,4.013133892739876,57.90769792046698
137,2011-06-01,4043,6423,452,37.03059168345851,4.139952372229346,58.829455944312144
138,2011-07-01,4069,6435,444,37.166605772743885,4.055535257581293,58.777858969674824
139,2011-08-01,4056,6440,442,37.08173340647284,4.040958127628452,58.8773084658987
140,2011-09-01,4225,6461,446,37.95364714337046,4.006467840459935,58.0398850161696
141,2011-10-01,4475,6492,448,39.20280332895313,3.9246605343845817,56.87253613666229
142,2011-11-01,4809,6523,440,40.85117227319062,3.737682636765206,55.411145090044165
143,2011-12-01,4685,6454,442,40.45419221138071,3.816596148864519,55.72921163975477
144,2012-01-01,4395,6484,439,38.83194910761619,3.878777169111151,57.28927372327266
145,2012-02-01,5128,6507,447,42.44330408872703,3.6997185896374774,53.85697732163549
146,2012-03-01,5386,6600,453,43.2993005868639,3.6417718466114644,53.05892756652464
147,2012-04-01,5265,6694,454,42.41520986062998,3.657455893015387,53.92733424635463
148,2012-05-01,4925,6860,460,40.22049816251531,3.7566353613719885,56.022866476112696
149,2012-06-01,4807,6953,459,39.3403715525002,3.7564448809231523,56.903183566576644
150,2012-07-01,4774,7019,466,38.94281752182071,3.8012888490088916,57.25589362917041
151,2012-08-01,4863,7091,474,39.129385259092366,3.8139684583199225,57.05664628258771
152,2012-09-01,4963,7113,485,39.51118541517395,3.861157551150386,56.62765703367566
153,2012-10-01,5384,7144,485,41.37401060477984,3.72704218858065,54.89894720663951
154,2012-11-01,5295,7203,492,40.7621247113164,3.787528868360277,55.45034642032333
155,2012-12-01,5079,7310,491,39.433229813664596,3.812111801242236,56.75465838509317
156,2013-01-01,4854,7256,491,38.520752321244345,3.896516149511944,57.582731529243716
157,2013-02-01,5022,7333,495,39.081712062256805,3.8521400778210118,57.066147859922175
158,2013-03-01,5253,7524,511,39.531908488862136,3.845574954846478,56.622516556291394
159,2013-04-01,5276,7477,509,39.78283818428593,3.8380334791132555,56.379128336600814
160,2013-05-01,5005,7518,503,38.42315369261477,3.861507753723323,57.71533855366191
161,2013-06-01,4835,7592,505,37.38787503866378,3.9050417568821527,58.70708320445407
162,2013-07-01,4796,7628,499,37.11212566741469,3.8613325079315945,59.02654182465372
163,2013-08-01,4737,7655,485,36.78651859905258,3.7664052186068187,59.44707618234061
164,2013-09-01,4918,7771,489,37.31977538321445,3.710730004553043,58.96949461223251
165,2013-10-01,5503,7878,497,39.652687707162414,3.5812076668107795,56.7661046260268
166,2013-11-01,5512,7971,504,39.40802173446772,3.6033459641095305,56.98863230142275
167,2013-12-01,5521,7990,494,39.421635130310605,3.527311674401999,57.051053195287395
168,2014-01-01,5176,7902,486,38.15983485697434,3.5830138602182244,58.25715128280743
169,2014-02-01,5449,7916,493,39.32024823206812,3.5575119064800114,57.122239861451874
170,2014-03-01,5600,7868,494,40.108866924509385,3.5381750465549344,56.35295802893568
171,2014-04-01,5444,8000,492,39.06429391504018,3.5304247990815156,57.405281285878296
172,2014-05-01,5130,7959,488,37.784488473153125,3.5943139132356188,58.62119761361125
173,2014-06-01,5032,7766,481,37.89441976052414,3.622260712403042,58.48331952707282
174,2014-07-01,5005,7625,482,38.171140939597315,3.6760219646125685,58.15283709579011
175,2014-08-01,4957,7387,478,38.66011542661052,3.7279675557635312,57.611917017625956
176,2014-09-01,4984,7278,485,39.099395936298734,3.804816819643838,57.095787244057426
177,2014-10-01,5279,7235,493,40.585838394710535,3.790266779426463,55.623894825863
178,2014-11-01,5364,7207,502,41.03113286927255,3.8399755220683853,55.12889160865907
179,2014-12-01,5069,7162,497,39.825581395348834,3.904776869893149,56.26964173475801
180,2015-01-01,4884,7155,501,38.94736842105263,3.995215311004785,57.057416267942585
181,2015-02-01,5196,7216,497,40.25098768301185,3.8500271128669916,55.89898520412115
182,2015-03-01,5069,7230,499,39.60775121112674,3.8990467260509454,56.49320206282231
183,2015-04-01,5348,7210,510,40.92439546985002,3.902662993572085,55.1729415365779
184,2015-05-01,5069,7104,502,39.99211045364891,3.9605522682445757,56.04733727810651
185,2015-06-01,4999,6964,494,40.13004736292847,3.965641807818897,55.90431082925262
186,2015-07-01,5057,6850,492,40.785547221550125,3.9680619404790707,55.24639083797081
187,2015-08-01,5097,6982,502,40.513472696923934,3.9901438677370638,55.496383435339006
188,2015-09-01,5265,7130,494,40.84878578632943,3.832725579951897,55.31848863371868
189,2015-10-01,5882,7272,503,43.0694881745625,3.683092919382002,53.2474189060555
190,2015-11-01,6141,7294,499,44.07205396870963,3.581168365149993,52.346777666140376
191,2015-12-01,6085,7169,493,44.264203098857934,3.586236997163018,52.149559903979046
192,2016-01-01,5905,7112,480,43.75046306586649,3.5563458546343627,52.693191079499144
193,2016-02-01,6038,7041,474,44.55102191396739,3.4973806537298016,51.95159743230281
194,2016-03-01,6019,7056,474,44.423942726400476,3.4984131670233967,52.07764410657612
195,2016-04-01,6152,7033,470,45.05309410472355,3.441962651043574,51.504943244232884
196,2016-05-01,6092,7120,467,44.53541925579355,3.413992250895533,52.05058849331091
197,2016-06-01,5967,7266,468,43.551565579154804,3.4158090650317496,53.032625355813444
198,2016-07-01,5928,7548,472,42.50071694866648,3.3839977057642674,54.115285345569255
199,2016-08-01,6200,7515,465,43.723554301833566,3.279266572637517,52.997179125528916
200,2016-09-01,6577,7646,459,44.79634927121646,3.126277073968124,52.07737365481542
201,2016-10-01,7144,7785,440,46.48318042813456,2.862905849437179,50.65391372242827
202,2016-11-01,7155,7979,440,45.94195453961731,2.825221523051239,51.23282393733145
203,2016-12-01,7378,8182,442,46.106736657917764,2.7621547306586676,51.13110861142357
204,2017-01-01,7109,8198,432,45.16805387889955,2.7447741279623865,52.08717199313806
205,2017-02-01,7176,8406,428,44.82198625858838,2.6733291692692065,52.50468457214241
206,2017-03-01,7408,8567,425,45.170731707317074,2.591463414634146,52.23780487804878
207,2017-04-01,7397,8725,431,44.68676372862925,2.603757627016251,52.709478644354505
208,2017-05-01,7146,8668,431,43.988919667590025,2.6531240381655894,53.35795629424438
209,2017-06-01,7204,8632,436,44.27236971484759,2.67944936086529,53.04818092428712
210,2017-07-01,7276,8598,435,44.61340364216077,2.6672389478202216,52.71935741001901
211,2017-08-01,7236,8709,431,44.18661455788959,2.6319003419638496,53.18148510014655
212,2017-09-01,7681,8822,416,45.39866422365388,2.458774159229269,52.142561617116854
213,2017-10-01,7987,8890,409,46.205021404604885,2.3660765937753094,51.428902001619804
214,2017-11-01,7978,8935,402,46.07565694484551,2.3216863990759458,51.60265665607855
215,2017-12-01,7696,8922,396,45.233337251675096,2.327495004114259,52.43916774421065
216,2018-01-01,7256,8923,391,43.789981894990945,2.3596861798430897,53.85033192516596
217,2018-02-01,7472,8955,385,44.44444444444444,2.2900309302878896,53.265524625267666
218,2018-03-01,7357,9008,380,43.935503135264256,2.2693341295909226,53.79516273514482
219,2018-04-01,7113,8999,365,43.169266249924135,2.215209079322692,54.61552467075317
220,2018-05-01,7083,9037,369,42.955910000606465,2.2378555400570077,54.80623445933652
221,2018-06-01,7092,8936,366,43.25972916920824,2.232524094180798,54.507746736610954
222,2018-07-01,6959,8956,369,42.73520019651191,2.266028002947679,54.9987718005404
223,2018-08-01,7356,8966,360,44.09543220237382,2.15801462654358,53.7465531710826
224,2018-09-01,7597,9023,362,44.735602402543876,2.1316688258155696,53.13272877164056
225,2018-10-01,7756,9000,363,45.306384718733575,2.1204509609206146,52.57316432034581
226,2018-11-01,8214,9077,355,46.548792927575654,2.011787373909101,51.439419698515245
227,2018-12-01,7964,9050,353,45.857085276674155,2.0325905452870385,52.110324178038816
228,2019-01-01,7741,8953,348,45.42307240934163,2.0420138481398897,52.534913742518484
229,2019-02-01,7899,9050,344,45.67744173943214,1.9892442028566473,52.33331405771121
230,2019-03-01,8024,9107,341,45.92490842490842,1.9516941391941391,52.12339743589743
231,2019-04-01,8172,9234,341,46.047219248323664,1.921451512931763,52.031329238744576
232,2019-05-01,8255,9125,331,46.60945175314776,1.8688950369826662,51.52165320986958
233,2019-06-01,8103,9248,338,45.808129345921195,1.9107920176380804,52.281078636440725
234,2019-07-01,8115,9215,330,45.951302378255946,1.868629671574179,52.18006795016987
235,2019-08-01,7936,9165,331,45.525470399265714,1.8988067921064709,52.57572280862781
236,2019-09-01,7966,9125,334,45.715925394548066,1.9167862266857965,52.36728837876614
237,2019-10-01,8102,9167,327,46.04455558081382,1.8583769038417821,52.0970675153444
238,2019-11-01,8163,9277,329,45.939557656592946,1.8515391974787552,52.208903145928296
239,2019-12-01,7998,9245,327,45.52077404667046,1.8611269208878771,52.618099032441656
240,2020-01-01,7321,9259,323,43.31183813524226,1.9109033899307817,54.77725847482695
241,2020-02-01,7734,9110,318,45.064677776482924,1.8529308938352176,53.082391329681855
242,2020-03-01,7741,9101,326,45.08970177073625,1.8988816402609507,53.01141658900279
243,2020-04-01,7909,9344,323,44.9988620846609,1.8377332726445155,53.16340464269458
244,2020-05-01,7918,9914,326,43.60612402246943,1.7953519110034146,54.598524066527155
245,2020-06-01,7499,10613,312,40.702344767694306,1.693443334780721,57.60421189752497
246,2020-07-01,7542,11272,317,39.42292614081857,1.6569964978307459,58.920077361350685
247,2020-08-01,7391,11495,311,38.5008074178257,1.6200447986664583,59.87914778350783
248,2020-09-01,7679,11858,310,38.690986043230716,1.561948909155036,59.74706504761424
249,2020-10-01,7904,12298,311,38.53166284795008,1.5161117340223274,59.952225418027595
250,2020-11-01,8258,12824,309,38.60502080314151,1.444532747417138,59.95044644944135
251,2020-12-01,8451,13271,302,38.37177624409735,1.3712313839447874,60.256992371957864
252,2021-01-01,8358,13524,291,37.69449330266541,1.3124069814639425,60.993099715870656
253,2021-02-01,8634,14105,287,37.49674281247285,1.2464170937201424,61.256840093807
254,2021-03-01,8914,14557,274,37.54053484944199,1.1539271425563276,61.30553800800168
255,2021-04-01,8965,14793,270,37.31063758947894,1.1236890294656234,61.56567338105543
256,2021-05-01,8522,14856,259,36.05364470956551,1.09573973008419,62.8506155603503
257,2021-06-01,7837,15230,253,33.606346483704975,1.0849056603773584,65.30874785591767
258,2021-07-01,7512,15069,255,32.89542827115082,1.116657908565423,65.98791382028377
259,2021-08-01,7381,15225,254,32.28783902012248,1.1111111111111112,66.60104986876641
