,year_month,simtotal_track,clustered_track,clustered_m_track,clustered_x_track,clustered_mx_track,self_identified_track,self_track,researcher_track,all_researchers,clustered_track_per,self_identified_track_per,researcher_track_per,self_track_per,all_researchers_per
68,2005-09-01,3701,120,44,40,36,188,3440,188,376,3.048780487804878,4.776422764227642,4.776422764227642,87.39837398373984,9.552845528455284
69,2005-10-01,3833,130,48,45,37,195,3558,195,390,3.1878371750858268,4.781755762628739,4.781755762628739,87.2486512996567,9.563511525257478
70,2005-11-01,4046,143,50,50,43,204,3750,204,408,3.324808184143223,4.743083003952568,4.743083003952568,87.18902580795164,9.486166007905137
71,2005-12-01,4236,155,55,55,45,216,3919,216,432,3.4398579671549046,4.793608521970706,4.793608521970706,86.97292498890369,9.587217043941411
72,2006-01-01,4370,166,59,60,47,234,4029,234,468,3.559939952820073,5.018228608192151,5.018228608192151,86.40360283079562,10.036457216384303
73,2006-02-01,4639,180,62,64,54,246,4276,246,492,3.637833468067906,4.971705739692806,4.971705739692806,86.41875505254649,9.943411479385611
74,2006-03-01,4963,194,69,67,58,255,4581,255,510,3.6707663197729423,4.824976348155157,4.824976348155157,86.67928098391674,9.649952696310313
75,2006-04-01,5280,204,73,72,59,266,4879,266,532,3.6331255565449685,4.737310774710597,4.737310774710597,86.89225289403385,9.474621549421194
76,2006-05-01,5529,220,81,76,63,284,5099,284,568,3.7370477322914897,4.824188890776287,4.824188890776287,86.61457448615593,9.648377781552574
77,2006-06-01,5734,235,87,81,67,305,5274,305,610,3.840496813204772,4.984474587350874,4.984474587350874,86.19055401209349,9.968949174701748
78,2006-07-01,6068,246,90,84,72,321,5580,321,642,3.803339517625232,4.962894248608534,4.962894248608534,86.2708719851577,9.925788497217068
79,2006-08-01,6273,255,94,86,75,331,5770,331,662,3.813369223867205,4.949902796470764,4.949902796470764,86.28682518319127,9.899805592941528
80,2006-09-01,6677,285,101,101,83,345,6135,345,690,4.008438818565401,4.852320675105485,4.852320675105485,86.28691983122363,9.70464135021097
81,2006-10-01,6954,309,108,111,90,365,6377,365,730,4.166666666666666,4.921790722761597,4.921790722761597,85.98975188781014,9.843581445523194
