,year_month,simtotal_track,clustered_track,clustered_m_track,clustered_x_track,clustered_mx_track,self_identified_track,self_track,researcher_track,self_study_day_1_users_date_track,self_study_day_2_7_users_date_track,self_study_day_8_30_users_date_track,self_study_day_31_90_users_date_track,self_study_day_91_180_users_date_track,self_study_day_181_365_users_date_track,self_study_years_users_date_track,all_researchers,clustered_track_per,self_identified_track_per,researcher_track_per,self_track_per,all_researchers_per
69,2005-10-01,1386,81,27,34,20,2,1220,122,370,72,61,158,87,82,335,124,5.684210526315789,0.14035087719298245,8.56140350877193,85.6140350877193,8.701754385964913
70,2005-11-01,1551,90,28,37,25,2,1370,128,424,81,69,179,95,92,365,130,5.660377358490567,0.12578616352201258,8.050314465408805,86.16352201257862,8.176100628930817
71,2005-12-01,1674,101,33,42,26,2,1473,140,485,89,70,157,109,94,394,142,5.8857808857808855,0.11655011655011654,8.158508158508159,85.83916083916084,8.275058275058274
72,2006-01-01,1670,106,36,43,27,2,1454,154,521,87,71,143,65,89,394,156,6.177156177156177,0.11655011655011654,8.974358974358974,84.73193473193473,9.090909090909092
73,2006-02-01,1898,116,35,47,34,3,1667,162,651,99,80,149,69,97,431,165,5.95482546201232,0.1540041067761807,8.316221765913758,85.57494866529774,8.470225872689939
74,2006-03-01,2153,127,39,51,37,3,1909,167,724,101,134,207,70,104,469,170,5.757026291931097,0.1359927470534905,7.57026291931097,86.53671804170445,7.70625566636446
75,2006-04-01,2393,135,44,54,37,3,2132,178,802,125,188,198,75,113,519,181,5.514705882352941,0.12254901960784313,7.27124183006536,87.09150326797386,7.393790849673203
76,2006-05-01,2534,150,52,58,40,3,2252,189,883,128,202,191,78,111,539,192,5.782575173477255,0.1156515034695451,7.2860447185813415,86.81572860447186,7.401696222050886
77,2006-06-01,2698,166,59,63,44,3,2385,210,945,141,208,203,83,115,565,213,6.005788712011578,0.10853835021707671,7.597684515195368,86.28798842257598,7.706222865412446
78,2006-07-01,2959,178,61,68,49,5,2617,228,1061,159,219,213,95,134,604,233,5.878467635402906,0.16512549537648613,7.5297225891677675,86.42668428005284,7.694848084544254
79,2006-08-01,3062,188,65,71,52,7,2707,236,1123,155,217,213,100,145,619,243,5.991077119184194,0.22307202039515617,7.520713830465264,86.26513702995538,7.743785850860421
80,2006-09-01,3397,210,69,85,56,7,3013,248,1230,173,241,237,150,173,652,255,6.037952846463485,0.2012650948821162,7.130534790109258,86.63024726854515,7.331799884991375
81,2006-10-01,3573,225,76,88,61,7,3164,267,1292,184,250,244,159,192,680,274,6.142506142506143,0.19110019110019108,7.28910728910729,86.37728637728638,7.480207480207481
82,2006-11-01,4073,248,85,93,70,8,3636,278,1397,238,478,249,177,206,715,286,5.947242206235012,0.19184652278177458,6.666666666666667,87.19424460431655,6.858513189448441
83,2006-12-01,4293,258,88,95,75,9,3837,289,1521,254,491,235,188,224,722,298,5.872979740496244,0.2048713862963806,6.578647848850444,87.34350102435693,6.783519235146825
84,2007-01-01,4357,274,96,102,76,11,3887,289,1537,261,497,224,195,234,732,300,6.142120600762161,0.24658148397220356,6.478368078906074,87.13292983635957,6.724949562878278
85,2007-02-01,4907,309,104,114,91,12,4392,300,1603,320,529,461,254,245,760,312,6.163973668461999,0.23937761819269898,5.9844404548174746,87.61220825852783,6.2238180730101735
86,2007-03-01,5263,329,113,121,95,13,4714,316,1681,357,579,551,258,254,804,329,6.124348473566641,0.24199553239017124,5.88235294117647,87.75130305286672,6.124348473566641
87,2007-04-01,5484,351,123,128,100,13,4912,321,1773,359,553,601,265,265,851,334,6.271216723244595,0.23226728604609612,5.7352152939074506,87.76130069680185,5.967482579953547
88,2007-05-01,5568,362,124,131,107,13,4983,330,1818,374,547,580,254,274,888,343,6.3642756680731365,0.22855133614627285,5.80168776371308,87.60548523206751,6.030239099859354
89,2007-06-01,5707,378,131,136,111,13,5102,336,1884,378,554,577,259,278,917,349,6.484817292846114,0.2230228169497341,5.764282038085435,87.52787785211872,5.98730485503517
90,2007-07-01,5693,396,136,142,118,12,5070,341,1844,371,558,558,258,287,933,353,6.805293005671078,0.20622100017185083,5.8601134215500945,87.12837257260698,6.066334421721945
91,2007-08-01,5791,407,143,146,118,11,5156,344,1863,386,585,555,265,295,951,355,6.877323420074349,0.18587360594795538,5.812774586008787,87.1240283879689,5.998648191956742
92,2007-09-01,5848,418,144,150,124,14,5195,349,1850,382,591,564,270,299,987,363,6.994645247657296,0.23427041499330656,5.840026773761713,86.93105756358769,6.07429718875502
93,2007-10-01,6027,435,146,153,136,14,5349,355,1887,389,613,604,270,299,1017,369,7.069722086786934,0.22753128555176336,5.769543312205428,86.93320331545587,5.997074597757192
94,2007-11-01,6030,463,155,163,145,14,5325,361,1849,465,527,604,268,291,1035,375,7.512575044621126,0.22716209638163234,5.857536913840662,86.40272594515658,6.084699010222295
95,2007-12-01,5956,491,171,174,146,15,5230,358,1803,463,490,605,261,283,1041,373,8.057105349524123,0.2461437479488021,5.874630784378077,85.822120118149,6.1207745323268785
96,2008-01-01,5953,506,178,177,151,15,5215,360,1828,463,485,599,234,279,1039,375,8.300524934383201,0.24606299212598426,5.905511811023622,85.5479002624672,6.1515748031496065
97,2008-02-01,6317,539,188,189,162,16,5551,358,1720,404,484,609,230,278,1053,374,8.338490099009901,0.24752475247524752,5.538366336633663,85.8756188118812,5.785891089108911
98,2008-03-01,6378,560,188,205,167,17,5591,358,1665,373,439,396,222,275,1071,375,8.58106037388906,0.2604964756359179,5.4857493104505055,85.67269384002452,5.746245786086424
99,2008-04-01,6339,578,192,213,173,17,5530,366,1597,361,381,385,209,264,1075,383,8.904637189955322,0.2619010938222154,5.638576490525343,85.19488522569712,5.900477584347558
100,2008-05-01,6328,606,202,224,180,18,5492,371,1567,353,365,270,151,250,1056,389,9.341760443964853,0.27747803298905505,5.719130568829968,84.66163095421612,5.996608601819023
101,2008-06-01,6301,638,211,242,185,18,5445,366,1540,348,348,241,142,228,1064,384,9.865470852017937,0.27833616823875057,5.659502087521262,84.19669089222205,5.9378382557600125
102,2008-07-01,6336,657,222,245,190,19,5466,362,1568,347,343,228,128,218,1074,381,10.101476014760149,0.2921279212792128,5.565805658056581,84.04059040590406,5.857933579335793
103,2008-08-01,6395,763,259,256,248,19,5427,362,1557,335,311,231,128,203,1087,381,11.611626845229036,0.28914929234515296,5.509054938365546,82.59016892406026,5.798204230710699
104,2008-09-01,6410,805,270,279,256,18,5403,368,1534,326,303,226,133,200,1107,386,12.208067940552016,0.27297543221110104,5.580831058538065,81.93812556869882,5.853806490749166
105,2008-10-01,6542,964,298,327,339,17,5375,382,1522,326,281,226,135,192,1131,399,14.306915998812705,0.25230038587117837,5.669338082517068,79.77144553279905,5.921638468388245
106,2008-11-01,6897,1313,333,362,618,16,5385,384,1565,313,273,225,136,182,1156,400,18.4981684981685,0.22541561003099464,5.409974640743871,75.86644125105664,5.635390250774866
107,2008-12-01,6808,1470,374,378,718,18,5140,386,1561,199,188,207,134,171,1168,404,20.958083832335326,0.2566295979469632,5.503279155973767,73.28200741374394,5.75990875392073
108,2009-01-01,6872,1578,415,391,772,20,5094,390,1584,189,165,172,125,171,1191,410,22.281841287771815,0.2824060999717594,5.506918949449308,71.92883366280711,5.789325049421067
109,2009-02-01,7289,2052,442,437,1173,22,5036,394,1596,201,174,179,126,169,1209,416,27.345415778251596,0.2931769722814499,5.250533049040511,67.11087420042644,5.543710021321962
110,2009-03-01,7065,2296,474,514,1308,20,4575,393,1621,205,175,187,127,178,1232,413,31.521142229544207,0.2745744096650192,5.395387149917628,62.808896210873144,5.669961559582647
111,2009-04-01,7207,2544,495,602,1447,21,4474,390,1664,213,185,199,125,173,1237,411,34.24417822048728,0.2826759994615695,5.24969713285772,60.223448647193436,5.532373132319289
112,2009-05-01,7055,2711,533,630,1548,21,4149,394,1682,224,181,182,118,171,1255,415,37.264604810996566,0.28865979381443296,5.4158075601374565,57.03092783505155,5.70446735395189
113,2009-06-01,6947,2759,553,640,1566,22,3995,390,1685,221,186,178,114,171,1262,412,38.50125593078426,0.30700530281886684,5.442366731789003,55.749372034607866,5.7493720346078705
114,2009-07-01,6912,2814,552,652,1610,21,3911,388,1639,218,198,178,115,176,1280,409,39.44491169049621,0.2943650126156434,5.43874404261284,54.8219792542753,5.733109055228483
115,2009-08-01,6828,2798,519,667,1612,21,3843,383,1604,211,193,176,116,181,1279,404,39.71611071682044,0.29808374733853793,5.436479772888574,54.54932576295245,5.734563520227112
116,2009-09-01,6950,2965,529,725,1711,20,3798,384,1554,227,207,173,119,184,1264,404,41.37016882935677,0.27905678805636946,5.357890330682294,52.99288405190457,5.6369471187386635
117,2009-10-01,7342,3351,549,861,1941,23,3811,388,1520,237,219,184,119,185,1286,411,44.24930674765615,0.3037105506404331,5.123464941238611,50.32351776046481,5.427175491879044
118,2009-11-01,7528,3580,565,910,2105,24,3762,397,1448,230,221,197,122,185,1305,421,46.116192193739536,0.3091588303490918,5.114002318691227,48.460646657220146,5.42316114904032
119,2009-12-01,7406,3504,565,898,2041,24,3724,391,1426,221,214,184,123,199,1311,415,45.84587203977496,0.3140128221902394,5.1157922281826504,48.724322909852155,5.42980505037289
120,2010-01-01,7414,3550,574,898,2078,22,3690,390,1401,220,210,181,126,208,1297,412,46.393099843178256,0.2875065342394145,5.0967067433350755,48.222686879247256,5.38421327757449
121,2010-02-01,7991,4089,586,956,2547,21,3737,387,1394,220,221,195,134,209,1316,408,49.65994656303133,0.2550400777264999,4.700024289531212,45.384989069710954,4.9550643672577115
122,2010-03-01,8346,4416,640,1021,2755,24,3756,400,1370,227,230,202,140,216,1328,424,51.37273150302466,0.2791996277338297,4.653327128897161,43.69474174034435,4.932526756630992
123,2010-04-01,8226,4282,668,1029,2585,26,3764,409,1358,220,225,209,141,226,1345,435,50.48932908855088,0.306567621742719,4.822544511260465,44.38155877844594,5.129112133003184
124,2010-05-01,8151,4147,697,949,2501,27,3818,413,1402,217,237,196,141,234,1354,440,49.339678762641284,0.32123735871505055,4.913741820345033,45.42534205829863,5.234979179060083
125,2010-06-01,8376,4289,743,949,2597,30,3897,426,1459,214,236,198,145,244,1366,456,49.62971534367044,0.34714186530895624,4.929414487387178,45.09372830363342,5.276556352696135
126,2010-07-01,8516,4353,782,943,2628,31,3970,432,1547,219,224,199,151,256,1340,463,49.54473025267471,0.3528340541770999,4.916913271113135,45.185522422035056,5.2697473252902345
127,2010-08-01,8657,4362,818,941,2603,30,4097,434,1606,231,230,214,156,257,1368,464,48.88490418020845,0.33620979491202513,4.86383503306063,45.915050991818894,5.200044827972655
128,2010-09-01,8879,4427,846,946,2635,32,4252,439,1684,230,232,227,163,264,1418,471,48.38251366120219,0.34972677595628415,4.797814207650273,46.46994535519126,5.147540983606557
129,2010-10-01,9388,4791,899,1036,2856,33,4397,446,1757,228,221,253,168,272,1463,479,49.56035998758664,0.3413675390503776,4.613634012620254,45.48463846074273,4.955001551670632
130,2010-11-01,9890,5091,947,1043,3101,34,4600,447,1845,241,236,277,182,278,1507,481,50.04915454187967,0.33425088478175385,4.394416044042469,45.22217852929611,4.728666928824223
131,2010-12-01,9913,4951,1048,1010,2893,36,4761,445,1920,278,243,286,183,279,1540,481,48.572549789070926,0.3531835573432748,4.365741194937702,46.70852545864809,4.718924752280977
132,2011-01-01,9802,4742,1076,904,2762,37,4854,444,1972,286,244,273,186,280,1582,481,47.05765604842711,0.3671727696735139,4.406073236082167,48.16909794581721,4.773246005755681
133,2011-02-01,10017,4831,1129,970,2732,39,4978,449,2041,284,253,281,198,285,1606,488,46.91657764397397,0.3787510925512285,4.3604933475769645,48.34417791589784,4.739244440128193
134,2011-03-01,10704,5391,1134,1111,3146,44,5102,453,2109,279,251,311,207,287,1629,497,49.05368516833485,0.40036396724294815,4.121929026387625,46.42402183803458,4.522292993630573
135,2011-04-01,10531,5153,1151,1140,2862,42,5163,450,2152,282,257,301,209,289,1645,492,47.67764618800888,0.38860103626943004,4.16358253145818,47.77017024426351,4.552183567727609
