,year_month,clustered_track,self_track
202,2016-11-01,7155,7979
203,2016-12-01,7378,8182
204,2017-01-01,7109,8198
205,2017-02-01,7176,8406
206,2017-03-01,7408,8567
207,2017-04-01,7397,8725
208,2017-05-01,7146,8668
209,2017-06-01,7204,8632
210,2017-07-01,7276,8598
211,2017-08-01,7236,8709
212,2017-09-01,7681,8822
213,2017-10-01,7987,8890
214,2017-11-01,7978,8935
215,2017-12-01,7696,8922
216,2018-01-01,7256,8923
217,2018-02-01,7472,8955
218,2018-03-01,7357,9008
219,2018-04-01,7113,8999
220,2018-05-01,7083,9037
221,2018-06-01,7092,8936
222,2018-07-01,6959,8956
223,2018-08-01,7356,8966
224,2018-09-01,7597,9023
225,2018-10-01,7756,9000
226,2018-11-01,8214,9077
227,2018-12-01,7964,9050
228,2019-01-01,7741,8953
229,2019-02-01,7899,9050
230,2019-03-01,8024,9107
231,2019-04-01,8172,9234
232,2019-05-01,8255,9125
233,2019-06-01,8103,9248
234,2019-07-01,8115,9215
235,2019-08-01,7936,9165
236,2019-09-01,7966,9125
237,2019-10-01,8102,9167
238,2019-11-01,8163,9277
239,2019-12-01,7998,9245
240,2020-01-01,7321,9259
241,2020-02-01,7734,9110
242,2020-03-01,7741,9101
243,2020-04-01,7909,9344
244,2020-05-01,7918,9914
245,2020-06-01,7499,10613
246,2020-07-01,7542,11272
247,2020-08-01,7391,11495
248,2020-09-01,7679,11858
249,2020-10-01,7904,12298
250,2020-11-01,8258,12824
251,2020-12-01,8451,13271
252,2021-01-01,8358,13524
253,2021-02-01,8634,14105
254,2021-03-01,8914,14557
255,2021-04-01,8965,14793
256,2021-05-01,8522,14856
257,2021-06-01,7837,15230
258,2021-07-01,7512,15069
259,2021-08-01,7381,15220
260,2021-09-01,7145,14393
261,2021-10-01,6734,13509
262,2021-11-01,5904,12276
263,2021-12-01,4908,11111
264,2022-01-01,3923,9985
265,2022-02-01,3516,8915
266,2022-03-01,2953,7887
267,2022-04-01,2105,6659
268,2022-05-01,1153,5227
269,2022-06-01,523,3308
270,2022-07-01,251,1749
271,2022-08-01,0,1
272,2022-09-01,0,0
273,2022-10-01,0,0
274,2022-11-01,0,0
275,2022-12-01,0,0
