,nhid
1285,77877
1286,77998
1287,78197
1288,78208
1289,78305
1290,78994
1291,79411
1292,80008
1293,80041
1294,80782
1295,81066
1296,81215
1297,81221
1298,81434
1299,81585
1300,81599
1301,81602
1302,81674
1303,81738
1304,82024
1305,82172
1306,82365
1307,82370
1308,82379
1309,82456
1310,82529
1311,82870
1312,82873
1313,82987
1314,83194
1315,83493
1316,83518
1317,83638
1318,83697
1319,84094
1320,84180
1321,84248
1322,84270
1323,84351
1324,84458
1325,84616
1326,84620
1327,84801
1328,84967
1329,84981
1330,85617
1331,85806
1332,85981
1333,86007
1334,86011
1335,86033
1336,86044
1337,86062
1338,86072
1339,86075
1340,86119
1341,86168
1342,86184
1343,86255
1344,86364
1345,86630
1346,86713
1347,86827
1348,87127
1349,87128
1350,87653
1351,87762
1352,88004
1353,88123
1354,88224
1355,88335
1356,88365
1357,88549
1358,88882
1359,89021
1360,89028
1361,89036
1362,89438
1363,89502
1364,89627
1365,89659
1366,89726
1367,89971
1368,90004
1369,90056
1370,90243
1371,90271
1372,91270
1373,91580
1374,91725
1375,91964
1376,92044
1377,92079
1378,92175
1379,92248
1380,92282
1381,92671
1382,93108
1383,93316
1384,93324
1385,93389
1386,93552
1387,93648
1388,93650
1389,93712
1390,93850
1391,93902
1392,93924
1393,93984
1394,94160
1395,94274
1396,94368
1397,94402
1398,94446
1399,94510
1400,94653
1401,94724
1402,95384
1403,95571
1404,96107
1405,96138
1406,96257
1407,96414
1408,96430
1409,96459
1410,96631
1411,96932
1412,96952
1413,97523
1414,97581
1415,98158
1416,98224
1417,98335
1418,98356
1419,98451
1420,98851
1421,99068
1422,99123
1423,99306
1424,99347
1425,99375
1426,99725
1427,99730
1428,99760
1429,99873
1430,99987
1431,100100
1432,100354
1433,100379
1434,100393
1435,100576
1436,100602
1437,100631
1438,100702
1439,100994
1440,101017
1441,101086
1442,101110
1443,101180
1444,101531
1445,101713
1446,101881
1447,102195
1448,102345
1449,102493
1450,102547
1451,102601
1452,102883
1453,102976
