user,class_id,parti_rate
pramesh,19,1.0
xsmise01,20,0.2857142857142857
dwayne007,20,0.5714285714285714
pousta.ondra,20,0.14285714285714285
xkulha02,20,0.14285714285714285
pastikar1,20,0.42857142857142855
smurfer,20,0.7142857142857143
luk.kupka,20,0.5714285714285714
xparik01,20,0.42857142857142855
michal.talaba,20,0.7142857142857143
xjakou02,20,0.5714285714285714
xsykor18,20,0.7142857142857143
benesl.tomas,20,0.5714285714285714
rezruc,20,0.7142857142857143
xkubin21,20,0.5714285714285714
tatranka01,20,0.5714285714285714
jaroslavmikeska,20,0.5714285714285714
xnovak0n,20,0.7142857142857143
xmacha55,20,0.42857142857142855
xalber00,20,0.5714285714285714
xtrizn00,20,0.5714285714285714
pavol_mnan,20,0.8571428571428571
xkraus09,20,0.42857142857142855
adamek727,20,0.2857142857142857
mareksikora,20,0.8571428571428571
janmatej,20,0.7142857142857143
pecekl,20,0.7142857142857143
ondrejbastan,20,0.7142857142857143
xrysav20,20,0.5714285714285714
papirek92,20,0.14285714285714285
hagrid054,20,0.5714285714285714
xgerja00,20,0.5714285714285714
bures.fr,20,0.7142857142857143
dareion.legacy,20,0.5714285714285714
xbrynd00,20,0.8571428571428571
xsidor00,20,0.5714285714285714
chytil92,20,0.7142857142857143
david.parik.cz,20,0.14285714285714285
xsediv9,20,0.42857142857142855
jirkajiruska,20,0.7142857142857143
tkac.peto92,20,0.5714285714285714
los_machos,20,0.7142857142857143
xtoman27,20,0.7142857142857143
lukas.kuruc,20,0.7142857142857143
xdolni02,20,0.7142857142857143
diavel,20,0.7142857142857143
xmusil54,20,0.7142857142857143
novak45,20,0.42857142857142855
frein,20,0.8571428571428571
mlynkovabarca,20,0.8571428571428571
mmum_adam,20,0.5714285714285714
blablablablabbb,20,0.2857142857142857
xchutn,20,0.7142857142857143
lesik,20,0.2857142857142857
andor0521,20,0.7142857142857143
dominik.kotulic,20,0.2857142857142857
tenji,20,0.5714285714285714
pavolkrsak,20,0.7142857142857143
valik,20,0.14285714285714285
xplany00,20,0.42857142857142855
xzagra00,20,0.5714285714285714
adelaid,20,0.7142857142857143
xrasto,20,0.2857142857142857
majoveri,20,0.7142857142857143
quiksilver,20,0.7142857142857143
jendavavra,20,0.5714285714285714
kolar.michal,20,0.7142857142857143
martinkucirek,20,0.42857142857142855
sslenker,20,0.5714285714285714
xfilka01,20,0.7142857142857143
sejcek,20,0.8571428571428571
janda.janousek,21,0.8333333333333334
stritesky.radek,21,0.3333333333333333
xkulha02,21,0.6666666666666666
daliborxxx,21,0.5
branislav.repy,21,0.3333333333333333
picikato,21,1.0
xhrusk15,21,0.8333333333333334
xdolej04,21,1.0
xbolek00,21,1.0
xvacli00,21,0.3333333333333333
kuba.streit,21,1.0
iveta.ustohalova,21,0.8333333333333334
kvitkoagave,21,0.3333333333333333
martinkobath,21,1.0
xproko28,21,1.0
tomasmichalek,21,0.8333333333333334
alergikus,21,0.8333333333333334
xkrist16,21,1.0
voda.tomas,21,1.0
michal.0007,21,0.3333333333333333
xrychl05,21,0.5
xgalma00,21,0.6666666666666666
gooliner,21,0.5
sehny,21,1.0
honzazpasek,21,0.6666666666666666
jarmolsky,21,0.6666666666666666
fikus333,21,1.0
xsediv9,21,0.3333333333333333
tallcomanche,21,0.6666666666666666
branislav.repka,21,0.6666666666666666
stavji,21,1.0
xtseve00,21,0.3333333333333333
nuginy,21,0.8333333333333334
xkudla11,21,0.5
dan322,21,0.5
xzachm00,21,0.8333333333333334
jirkarck,21,0.6666666666666666
konecny92,21,0.6666666666666666
prokopm1,21,0.6666666666666666
dixie223.555,21,1.0
konecny.tomas.93,21,1.0
xbakli01,21,0.8333333333333334
xgregr04,21,0.8333333333333334
valik,21,0.6666666666666666
havca77,21,0.6666666666666666
stano,21,0.5
xtomek08,21,0.8333333333333334
lesik,21,0.3333333333333333
novacekrichard,21,0.3333333333333333
vojtech.vladyka,21,1.0
itskaju,22,0.25
maheshreddyerri,22,0.75
mahfuza,22,0.25
aumer313,22,1.0
mahfuzakhatun,22,1.0
christophergreen609,22,1.0
ajallen1289,22,0.75
claraqqqq,22,0.5
kcantley,22,0.5
haitianxu,22,0.25
cjstanger1,22,0.25
kanjanimody,22,0.5
robertivans,22,1.0
rubel05eee,22,0.25
karishmae105,22,0.75
rharper100,22,0.25
lalisa_b,23,1.0
suwimon.32,23,1.0
jennyzaa76,23,1.0
coolypink,23,1.0
paphawarin_k,23,1.0
kittirat_k,23,1.0
pondzero1995,23,1.0
suwimonzeza2538,23,1.0
salikapas,23,1.0
porpia,23,1.0
lalisa_b,24,0.5
pop33254,24,1.0
supergt1,24,1.0
mattalin,24,0.5
paphawarin_k,24,0.5
kittirat_k,24,1.0
than_c,24,1.0
frestmeat,24,0.5
ployapi,24,0.5
kornkla,24,0.5
prim_smile,24,1.0
phanarin777,25,1.0
miracle_jungza,25,1.0
supergt1,25,1.0
rangsima_j,25,1.0
rangsima.mt,25,1.0
natanawat_y,25,1.0
cool_night,25,1.0
liupufan,26,1.0
blew2,26,0.5
jdolins21,26,0.5
ychen22,26,0.5
nethert2,26,1.0
ndecraene,26,0.5
bomcdon2,26,1.0
lyding,26,0.5
cychan3,26,0.5
kurmanba1,26,0.5
salman2,26,0.5
mengwu4,26,0.5
hmtaylo2,26,0.5
ecyoung,26,1.0
operabc6,26,0.5
nishat1801,27,1.0
manalipatel,27,1.0
veeru,27,1.0
himalidhaduk,27,1.0
rahulenukonda525,27,1.0
nicnat94,28,1.0
sapotyuk1995,28,1.0
ihorpetrov22,28,1.0
artem0709,28,1.0
stryker.95,28,1.0
alydsz5,29,0.3333333333333333
rashmibhatt27,29,0.3333333333333333
tanmay_vjti,29,0.3333333333333333
diwakar.singh121,29,0.6666666666666666
anumolsasi69,29,0.3333333333333333
joshipayal78,29,0.6666666666666666
vjti.mtech.ec2017,29,0.3333333333333333
kedarshekhar7,29,0.6666666666666666
amit.banda,29,1.0
lokeshk93,29,0.3333333333333333
priyamalani30,29,1.0
paragbhandarkar,29,0.6666666666666666
a.b.surgade,29,0.3333333333333333
ghatulnikhil118,29,1.0
pawarpooja10,29,0.6666666666666666
milinddatkhile29,30,0.5
deshmukhprashant23,30,0.5
tanmay_vjti,30,1.0
joshipayal78,30,0.5
bhushanwarudkar13,30,0.5
nadafatik,30,1.0
seema.gumbade,30,1.0
lokeshk93,30,0.5
tejaswaghate,30,0.5
