user,ip,toolname,date,lon,lat
ramji.sat,14.139.187.66,sugar,2016-05-20,80.03679656982422,12.816200256347656
wbuchanansb,98.188.150.204,qdot,2016-05-20,-119.73149871826172,34.43980026245117
mashroornitol,129.115.195.16,polymod,2016-05-20,-98.614501953125,29.565200805664062
mashroornitol,129.115.195.15,stickslip,2016-05-20,-98.614501953125,29.565200805664062
desai61,10.186.27.155,workspace,2016-05-20,,
balochiz100,121.52.157.189,fettoy,2016-05-20,74.18830108642578,32.16170120239258
lalzatev,10.186.156.151,workspace,2016-05-20,,
keka,103.10.208.6,senstran,2016-05-20,77.0,20.0
sreeprasad76,14.139.119.173,abinit,2016-05-20,73.8042984008789,15.455900192260742
edsaedwin,163.152.61.90,dualfoil,2016-05-20,126.97830200195312,37.5984992980957
edsaedwin,163.152.61.90,uvspec,2016-05-20,126.97830200195312,37.5984992980957
edsaedwin,163.152.61.90,1dhetero,2016-05-20,126.97830200195312,37.5984992980957
rriskowski,98.230.32.44,dda,2016-05-20,-84.32109832763672,30.447799682617188
procaddieprocaddie,82.1.146.20,meep,2016-05-20,-1.38919997215271,50.932098388671875
lee0513,180.102.100.18,ddaplus,2016-05-20,118.77780151367188,32.06169891357422
davido22,205.175.97.88,crystal_viewer,2016-05-20,-122.30290222167969,47.66310119628906
y8210212000,114.47.113.156,imod,2016-05-20,120.54190063476562,24.070899963378906
lualpuni,192.35.17.12,vides,2016-05-20,8.0,47.0
jychen,140.113.87.196,workspace,2016-05-20,121.53179931640625,25.047800064086914
y8210212000,114.47.113.156,qdot,2016-05-20,120.54190063476562,24.070899963378906
hknyetis,194.27.224.25,mif,2016-05-20,28.994800567626953,41.021400451660156
hctest1,128.46.19.208,workspace,2016-05-20,-86.91470336914062,40.42509841918945
sangaravadivel,14.139.181.229,atcadlab,2016-05-20,77.0,20.0
shahid.arshad85,193.2.14.65,ddaplus,2016-05-20,15.0,46.0
vijay180789,140.113.180.35,nanowire,2016-05-20,121.53179931640625,25.047800064086914
