user,tool,start,end,ip,lon,lat
samiul001,ucb_compnano,2016-04-27,2016-05-01,146.7.4.79,-93.30390167236328,37.167999267578125
samiul001,ucb_compnano,2016-04-01,2016-04-05,107.138.185.63,-93.29900360107422,37.211700439453125
samiul001,ucb_compnano,2016-04-01,2016-04-05,146.7.4.79,-93.30390167236328,37.167999267578125
samiul001,ucb_compnano,2016-03-19,2016-03-23,146.7.4.79,-93.30390167236328,37.167999267578125
samiul001,ucb_compnano,2016-03-12,2016-03-20,146.7.4.79,-93.30390167236328,37.167999267578125
samiul001,ucb_compnano,2016-02-18,2016-02-22,146.7.4.79,-93.30390167236328,37.167999267578125
samiul001,ucb_compnano,2016-02-14,2016-02-18,107.138.185.63,-93.29900360107422,37.211700439453125
samiul001,ucb_compnano,2016-02-08,2016-02-13,108.250.137.18,-93.30390167236328,37.167999267578125
samiul001,ucb_compnano,2016-02-08,2016-02-13,146.7.88.51,-93.54759979248047,37.062801361083984
samiul001,ucb_compnano,2016-01-31,2016-02-04,146.7.4.79,-93.30390167236328,37.167999267578125
samiul001,ucb_compnano,2016-01-18,2016-01-31,146.7.4.79,-93.30390167236328,37.167999267578125
samiul001,ucb_compnano,2016-01-11,2016-01-17,146.7.4.74,-93.30390167236328,37.167999267578125
samiul001,ucb_compnano,2016-01-11,2016-01-17,146.7.4.79,-93.30390167236328,37.167999267578125
samiul001,dftqe,2016-02-25,2016-03-02,146.7.88.51,-93.54759979248047,37.062801361083984
samiul001,dftqe,2016-02-25,2016-03-02,146.7.4.79,-93.30390167236328,37.167999267578125
samiul001,dftqe,2016-02-08,2016-02-12,108.250.137.18,-93.30390167236328,37.167999267578125
samiul001,bulkmc,2016-02-08,2016-02-12,108.250.137.18,-93.30390167236328,37.167999267578125
samiul001,fettoy,2016-02-08,2016-02-12,108.250.137.18,-93.30390167236328,37.167999267578125
samiul001,pvpanelsim,2016-03-17,2016-03-21,146.7.4.79,-93.30390167236328,37.167999267578125
samiul001,pvpanelsim,2016-03-02,2016-03-06,146.7.4.79,-93.30390167236328,37.167999267578125
samiul001,nanoenergytools,2016-03-02,2016-03-07,107.138.185.63,-93.29900360107422,37.211700439453125
samiul001,nanoenergytools,2016-03-02,2016-03-07,146.7.4.79,-93.30390167236328,37.167999267578125
samiul001,qcrf4photo,2016-03-02,2016-03-06,146.7.4.79,-93.30390167236328,37.167999267578125
samiul001,abacus,2016-03-03,2016-03-07,146.7.4.79,-93.30390167236328,37.167999267578125
samiul001,photonicstk,2016-03-03,2016-03-07,146.7.4.79,-93.30390167236328,37.167999267578125
samiul001,thermo,2016-03-03,2016-03-07,146.7.4.79,-93.30390167236328,37.167999267578125
samiul001,xpsts,2016-03-03,2016-03-07,146.7.4.79,-93.30390167236328,37.167999267578125
samiul001,samis,2016-03-03,2016-03-07,146.7.4.79,-93.30390167236328,37.167999267578125
samiul001,pvanalyzer,2016-03-03,2016-03-07,146.7.4.79,-93.30390167236328,37.167999267578125
samiul001,ddsolarcell,2016-03-03,2016-03-07,146.7.4.79,-93.30390167236328,37.167999267578125
samiul001,semidop,2016-03-03,2016-03-07,146.7.4.79,-93.30390167236328,37.167999267578125
samiul001,mobiresis,2016-03-03,2016-03-07,146.7.4.79,-93.30390167236328,37.167999267578125
samiul001,carrierconc,2016-03-03,2016-03-07,146.7.4.79,-93.30390167236328,37.167999267578125
samiulhasan09,crystal_viewer,2016-03-27,2016-03-31,146.103.254.11,4.696000099182129,50.86429977416992
samjam14,oof2,2016-04-29,2016-05-03,149.84.57.95,-77.78929901123047,42.25339889526367
samjam14,oof2,2016-04-24,2016-04-29,149.84.57.95,-77.78929901123047,42.25339889526367
samjam14,oof2,2016-04-24,2016-04-29,149.84.195.58,-77.78929901123047,42.25339889526367
samjam14,oof2,2016-04-02,2016-04-06,149.84.195.17,-77.78929901123047,42.25339889526367
samjam14,oof2,2016-03-28,2016-04-01,70.195.141.168,-97.8219985961914,37.750999450683594
samjam14,complam,2016-04-05,2016-04-09,149.84.194.201,-77.78929901123047,42.25339889526367
sammjohhnson,qudosim,2016-05-15,2016-05-21,98.188.150.204,-119.73149871826172,34.43980026245117
sammjohhnson,qudosim,2016-05-15,2016-05-21,184.189.239.167,-119.73149871826172,34.43980026245117
sammy.cerida,veda,2016-03-29,2016-04-02,192.93.175.209,2.33870005607605,48.85820007324219
sammycerida,veda,2016-04-12,2016-04-16,192.93.175.136,2.33870005607605,48.85820007324219
samoteddy,lcoe,2016-05-17,2016-05-21,130.208.195.254,-21.97480010986328,64.14720153808594
samov,qdot,2016-01-16,2016-01-20,83.149.199.196,37.6068000793457,55.73860168457031
samrin,nanomos,2016-01-29,2016-02-02,116.72.136.196,72.88259887695312,19.072799682617188
samrin,mgnanowirefet,2016-05-28,2016-06-01,116.72.136.196,72.88259887695312,19.072799682617188
samrin,mgnanowirefet,2016-04-26,2016-04-30,223.30.178.170,77.0,20.0
samrin,mgnanowirefet,2016-01-29,2016-02-02,116.72.136.196,72.88259887695312,19.072799682617188
samrin,nanofinfet,2016-05-28,2016-06-02,1.39.9.91,77.0,20.0
samrin,nanofinfet,2016-05-28,2016-06-02,116.72.136.196,72.88259887695312,19.072799682617188
samrin,nanofinfet,2016-04-26,2016-04-30,223.30.178.170,77.0,20.0
samrin,nanofinfet,2016-01-30,2016-02-03,223.30.178.170,77.0,20.0
samrin,nanocmos,2016-05-28,2016-06-01,116.72.136.196,72.88259887695312,19.072799682617188
samsamy,adeptnpt,2016-05-29,2016-06-02,157.82.66.102,139.75320434570312,35.688201904296875
samsmith,pntoy,2016-02-27,2016-03-02,128.32.44.187,-122.25700378417969,37.873600006103516
samsmith,pntoy,2016-02-23,2016-02-27,136.152.142.89,-122.25700378417969,37.873600006103516
samsmith,pntoy,2016-02-20,2016-02-24,128.32.44.187,-122.25700378417969,37.873600006103516
samsmith,pntoy,2016-02-15,2016-02-20,136.152.142.88,-122.25700378417969,37.873600006103516
samsmith,pntoy,2016-02-15,2016-02-20,128.32.44.187,-122.25700378417969,37.873600006103516
samsmith,pnshortbasedda,2016-02-15,2016-02-19,128.32.44.187,-122.25700378417969,37.873600006103516
samsmith,atcadlab,2016-02-29,2016-03-04,128.32.44.187,-122.25700378417969,37.873600006103516
samsmith,bjt,2016-03-26,2016-03-30,128.32.44.187,-122.25700378417969,37.873600006103516
samsmith,bjt,2016-03-15,2016-03-19,136.152.142.91,-122.25700378417969,37.873600006103516
