,year_month,simtotal_track,clustered_track,clustered_m_track,clustered_x_track,clustered_mx_track,self_identified_track,self_track,researcher_track,all_researchers,clustered_track_per,self_identified_track_per,researcher_track_per,self_track_per,all_researchers_per
68,2005-09-01,3701,120,44,40,36,2,3440,188,190,3.2,0.05333333333333334,5.013333333333334,91.73333333333333,5.066666666666666
69,2005-10-01,3833,130,48,45,37,2,3558,195,197,3.346203346203346,0.05148005148005148,5.019305019305019,91.58301158301158,5.070785070785071
70,2005-11-01,4046,143,50,50,43,2,3750,204,206,3.488655769699927,0.04879238838741156,4.976823615515979,91.48572822639667,5.025616003903391
71,2005-12-01,4236,155,55,55,45,2,3919,216,218,3.6113699906803354,0.046598322460391424,5.032618825722274,91.30941286113699,5.079217148182665
72,2006-01-01,4370,166,59,60,47,2,4029,234,236,3.7463326562852632,0.045136538027533285,5.280974949221394,90.92755585646582,5.326111487248928
73,2006-02-01,4639,180,62,64,54,3,4276,246,249,3.825717321997875,0.06376195536663125,5.228480340063761,90.88204038257173,5.292242295430393
74,2006-03-01,4963,194,69,67,58,3,4581,255,258,3.854559904629445,0.059606596463341946,5.066560699384065,91.01927279952314,5.126167295847408
75,2006-04-01,5280,204,73,72,59,3,4879,266,269,3.811659192825112,0.05605381165919283,4.970104633781764,91.16218236173394,5.026158445440957
76,2006-05-01,5529,220,81,76,63,3,5099,284,287,3.92436674991081,0.053514092044238314,5.066000713521227,90.95611844452372,5.119514805565466
77,2006-06-01,5734,235,87,81,67,3,5274,305,308,4.039883101254942,0.0515729757607014,5.243252535671308,90.66529138731305,5.294825511432009
78,2006-07-01,6068,246,90,84,72,5,5580,321,326,3.998699609882965,0.0812743823146944,5.217815344603381,90.70221066319895,5.2990897269180754
79,2006-08-01,6273,255,94,86,75,7,5770,331,338,4.0075436115040075,0.11001100110011,5.201948766305202,90.68049662109068,5.311959767405312
80,2006-09-01,6677,285,101,101,83,7,6135,345,352,4.208505611340815,0.10336680448907265,5.094506792675723,90.59362079149439,5.197873597164796
81,2006-10-01,6954,309,108,111,90,7,6377,365,372,4.378010767922924,0.09917823746103713,5.171436667611221,90.35137432700482,5.270614905072259
